commodity,year,asset,region,technology,installed,supply
heat,2045,0,R1,gasboiler,2035,10.08350000000
heat,2045,1,R1,gasboiler,2040,10.08570000000
heat,2045,3,R1,heatpump,2035,2.28500000000
heat,2045,4,R1,heatpump,2040,4.21250000000
heat,2050,1,R1,gasboiler,2040,11.44590000000
heat,2050,2,R1,gasboiler,2045,10.79770000000
heat,2050,4,R1,heatpump,2040,4.78060000000
heat,2050,5,R1,heatpump,2045,2.97580000000
CO2f,2045,0,R1,gasboiler,2035,652.50160000000
CO2f,2045,1,R1,gasboiler,2040,652.64480000000
CO2f,2050,1,R1,gasboiler,2040,740.66720000000
CO2f,2050,2,R1,gasboiler,2045,698.71620000000
