commodity,year,asset,region,technology,installed,supply
heat,2030,0,R1,gasboiler,2020,6.03970000000
heat,2030,1,R1,gasboiler,2025,4.85330000000
heat,2030,3,R1,heatpump,2020,4.74550000000
heat,2030,4,R1,heatpump,2025,1.02820000000
heat,2035,1,R1,gasboiler,2025,6.05410000000
heat,2035,2,R1,gasboiler,2030,7.67520000000
heat,2035,4,R1,heatpump,2025,1.28260000000
heat,2035,5,R1,heatpump,2030,4.98810000000
CO2f,2030,0,R1,gasboiler,2020,390.82830000000
CO2f,2030,1,R1,gasboiler,2025,314.05850000000
CO2f,2035,1,R1,gasboiler,2025,391.75970000000
CO2f,2035,2,R1,gasboiler,2030,496.66430000000
