commodity,year,asset,region,installed,technology,supply
heat,2050,2,R1,2040,gasboiler,11.44590000000
heat,2050,3,R1,2040,heatpump,4.78060000000
heat,2050,4,R1,2045,gasboiler,10.79770000000
heat,2050,5,R1,2045,heatpump,2.97580000000
heat,2055,4,R1,2045,gasboiler,12.35910000000
heat,2055,5,R1,2045,heatpump,3.40610000000
heat,2055,6,R1,2050,gasboiler,8.49730000000
heat,2055,7,R1,2050,heatpump,3.27500000000
CO2f,2050,2,R1,2040,gasboiler,740.66720000000
CO2f,2050,4,R1,2045,gasboiler,698.71620000000
CO2f,2055,4,R1,2045,gasboiler,799.75820000000
CO2f,2055,6,R1,2050,gasboiler,549.85940000000
