asset,year,technology,region,installed,capacity
0,2040,gassupply1,R1,2020,50.00000000000
0,2045,gassupply1,R1,2020,50.00000000000
0,2050,gassupply1,R1,2020,50.00000000000
0,2059,gassupply1,R1,2020,50.00000000000
1,2040,gassupply1,R1,2025,27.50000000000
1,2045,gassupply1,R1,2025,27.50000000000
1,2050,gassupply1,R1,2025,27.50000000000
1,2059,gassupply1,R1,2025,27.50000000000
1,2060,gassupply1,R1,2025,27.50000000000
1,2064,gassupply1,R1,2025,27.50000000000
2,2040,gassupply1,R1,2035,25.00000000000
2,2045,gassupply1,R1,2035,25.00000000000
2,2050,gassupply1,R1,2035,25.00000000000
2,2059,gassupply1,R1,2035,25.00000000000
2,2060,gassupply1,R1,2035,25.00000000000
2,2064,gassupply1,R1,2035,25.00000000000
2,2065,gassupply1,R1,2035,25.00000000000
2,2074,gassupply1,R1,2035,25.00000000000
3,2045,gassupply1,R1,2040,4.34820000000
3,2050,gassupply1,R1,2040,4.34820000000
3,2059,gassupply1,R1,2040,4.34820000000
3,2060,gassupply1,R1,2040,4.34820000000
3,2064,gassupply1,R1,2040,4.34820000000
3,2065,gassupply1,R1,2040,4.34820000000
3,2074,gassupply1,R1,2040,4.34820000000
3,2075,gassupply1,R1,2040,4.34820000000
3,2079,gassupply1,R1,2040,4.34820000000
4,2040,gassupply1,R2,2020,50.00000000000
4,2045,gassupply1,R2,2020,50.00000000000
4,2050,gassupply1,R2,2020,50.00000000000
4,2059,gassupply1,R2,2020,50.00000000000
5,2040,gassupply1,R2,2025,27.50000000000
5,2045,gassupply1,R2,2025,27.50000000000
5,2050,gassupply1,R2,2025,27.50000000000
5,2059,gassupply1,R2,2025,27.50000000000
5,2060,gassupply1,R2,2025,27.50000000000
5,2064,gassupply1,R2,2025,27.50000000000
6,2040,gassupply1,R2,2035,25.00000000000
6,2045,gassupply1,R2,2035,25.00000000000
6,2050,gassupply1,R2,2035,25.00000000000
6,2059,gassupply1,R2,2035,25.00000000000
6,2060,gassupply1,R2,2035,25.00000000000
6,2064,gassupply1,R2,2035,25.00000000000
6,2065,gassupply1,R2,2035,25.00000000000
6,2074,gassupply1,R2,2035,25.00000000000
7,2045,gassupply1,R2,2040,4.34820000000
7,2050,gassupply1,R2,2040,4.34820000000
7,2059,gassupply1,R2,2040,4.34820000000
7,2060,gassupply1,R2,2040,4.34820000000
7,2064,gassupply1,R2,2040,4.34820000000
7,2065,gassupply1,R2,2040,4.34820000000
7,2074,gassupply1,R2,2040,4.34820000000
7,2075,gassupply1,R2,2040,4.34820000000
7,2079,gassupply1,R2,2040,4.34820000000
