technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,1.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,61.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,100.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2025,6.00000000000
windturbine,R1,R1,A1,power,retrofit,2025,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,51.01130000000
gasboiler,R1,R1,A1,residential,retrofit,2030,56.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,29.00000000000
heatpump,R1,R1,A1,residential,retrofit,2030,100.00000000000
heatpump,R1,R1,A1,residential,retrofit,2030,32.54610000000
gasCCGT,R1,R1,A1,power,retrofit,2030,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2030,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2030,15.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,43.51130000000
gassupply1,R1,R1,A1,gas,retrofit,2030,41.48870000000
gasboiler,R1,R1,A1,residential,retrofit,2035,29.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,53.24570000000
heatpump,R1,R1,A1,residential,retrofit,2035,32.54610000000
heatpump,R1,R1,A1,residential,retrofit,2035,42.30240000000
gasCCGT,R1,R1,A1,power,retrofit,2035,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,15.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,5.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,36.01130000000
gassupply1,R1,R1,A1,gas,retrofit,2035,41.48870000000
gasboiler,R1,R1,A1,residential,retrofit,2040,53.24570000000
gasboiler,R1,R1,A1,residential,retrofit,2040,38.43400000000
heatpump,R1,R1,A1,residential,retrofit,2040,42.30240000000
heatpump,R1,R1,A1,residential,retrofit,2040,48.61030000000
gasCCGT,R1,R1,A1,power,retrofit,2040,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,15.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,10.56440000000
gassupply1,R1,R1,A1,gas,retrofit,2040,36.01130000000
gassupply1,R1,R1,A1,gas,retrofit,2040,41.48870000000
gassupply1,R1,R1,A1,gas,retrofit,2040,25.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2045,38.43400000000
gasboiler,R1,R1,A1,residential,retrofit,2045,48.09860000000
heatpump,R1,R1,A1,residential,retrofit,2045,48.61030000000
heatpump,R1,R1,A1,residential,retrofit,2045,36.58680000000
gasCCGT,R1,R1,A1,power,retrofit,2045,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,15.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,10.56440000000
windturbine,R1,R1,A1,power,retrofit,2045,5.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,36.01130000000
gassupply1,R1,R1,A1,gas,retrofit,2045,41.48870000000
gassupply1,R1,R1,A1,gas,retrofit,2045,25.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2050,48.09860000000
gasboiler,R1,R1,A1,residential,retrofit,2050,43.11450000000
heatpump,R1,R1,A1,residential,retrofit,2050,36.58680000000
heatpump,R1,R1,A1,residential,retrofit,2050,55.12520000000
gasCCGT,R1,R1,A1,power,retrofit,2050,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,15.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,5.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2050,15.00000000000
windturbine,R1,R1,A1,power,retrofit,2050,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2050,10.56440000000
windturbine,R1,R1,A1,power,retrofit,2050,5.00000000000
windturbine,R1,R1,A1,power,retrofit,2050,11.89780000000
gassupply1,R1,R1,A1,gas,retrofit,2050,36.01130000000
gassupply1,R1,R1,A1,gas,retrofit,2050,41.48870000000
gassupply1,R1,R1,A1,gas,retrofit,2050,25.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2050,25.00000000000
