commodity,asset,year,technology,installed,supply
heat,0,2025,gasboiler,2020,13.33330000000
heat,0,2030,gasboiler,2020,12.00000000000
heat,1,2030,gasboiler,2025,11.00000000000
heat,2,2025,gasboiler,2020,13.33330000000
heat,2,2030,gasboiler,2020,12.00000000000
heat,3,2030,gasboiler,2025,11.00000000000
heat,4,2025,heatpump,2020,7.00000000000
heat,4,2030,heatpump,2020,7.00000000000
heat,5,2025,heatpump,2020,7.00000000000
heat,5,2030,heatpump,2020,7.00000000000
CO2f,0,2025,gasboiler,2020,862.80000000000
CO2f,0,2030,gasboiler,2020,776.52000000000
CO2f,1,2030,gasboiler,2025,711.81000000000
CO2f,2,2025,gasboiler,2020,862.80000000000
CO2f,2,2030,gasboiler,2020,776.52000000000
CO2f,3,2030,gasboiler,2025,711.81000000000
