commodity,asset,year,technology,installed,supply
heat,0,2030,gasboiler,2020,12.00000000000
heat,1,2030,gasboiler,2025,11.00000000000
heat,1,2035,gasboiler,2025,11.00000000000
heat,2,2035,gasboiler,2030,13.15000000000
heat,3,2030,gasboiler,2020,12.00000000000
heat,4,2030,gasboiler,2025,11.00000000000
heat,4,2035,gasboiler,2025,11.00000000000
heat,5,2035,gasboiler,2030,13.15000000000
heat,6,2030,heatpump,2020,7.00000000000
heat,7,2035,heatpump,2030,3.85000000000
heat,8,2030,heatpump,2020,7.00000000000
heat,9,2035,heatpump,2030,3.85000000000
CO2f,0,2030,gasboiler,2020,776.52000000000
CO2f,1,2030,gasboiler,2025,711.81000000000
CO2f,1,2035,gasboiler,2025,711.81000000000
CO2f,2,2035,gasboiler,2030,850.93650000000
CO2f,3,2030,gasboiler,2020,776.52000000000
CO2f,4,2030,gasboiler,2025,711.81000000000
CO2f,4,2035,gasboiler,2025,711.81000000000
CO2f,5,2035,gasboiler,2030,850.93650000000
