commodity,asset,year,technology,installed,supply
heat,0,2040,gasboiler,2030,13.15000000000
heat,1,2040,gasboiler,2035,19.41500000000
heat,1,2045,gasboiler,2035,19.41500000000
heat,2,2045,gasboiler,2040,16.06030000000
heat,3,2040,gasboiler,2030,13.15000000000
heat,4,2040,gasboiler,2035,19.41500000000
heat,4,2045,gasboiler,2035,19.41500000000
heat,5,2045,gasboiler,2040,16.06030000000
heat,6,2040,heatpump,2030,3.85000000000
heat,7,2040,heatpump,2035,0.38500000000
heat,7,2045,heatpump,2035,0.38500000000
heat,8,2045,heatpump,2040,2.13680000000
heat,9,2040,heatpump,2030,3.85000000000
heat,10,2040,heatpump,2035,0.38500000000
heat,10,2045,heatpump,2035,0.38500000000
heat,11,2045,heatpump,2040,2.13680000000
CO2f,0,2040,gasboiler,2030,850.93650000000
CO2f,1,2040,gasboiler,2035,1256.34470000000
CO2f,1,2045,gasboiler,2035,1256.34460000000
CO2f,2,2045,gasboiler,2040,1039.26260000000
CO2f,3,2040,gasboiler,2030,850.93650000000
CO2f,4,2040,gasboiler,2035,1256.34470000000
CO2f,4,2045,gasboiler,2035,1256.34460000000
CO2f,5,2045,gasboiler,2040,1039.26260000000
