commodity,asset,year,technology,installed,supply
heat,0,2045,gasboiler,2035,19.41500000000
heat,1,2045,gasboiler,2040,16.06030000000
heat,1,2050,gasboiler,2040,16.06030000000
heat,2,2050,gasboiler,2045,17.79240000000
heat,3,2045,gasboiler,2035,19.41500000000
heat,4,2045,gasboiler,2040,16.06030000000
heat,4,2050,gasboiler,2040,16.06030000000
heat,5,2050,gasboiler,2045,17.79240000000
heat,6,2045,heatpump,2035,0.38500000000
heat,7,2045,heatpump,2040,2.13680000000
heat,7,2050,heatpump,2040,2.13680000000
heat,8,2050,heatpump,2045,0.31860000000
heat,9,2045,heatpump,2035,0.38500000000
heat,10,2045,heatpump,2040,2.13680000000
heat,10,2050,heatpump,2040,2.13680000000
heat,11,2050,heatpump,2045,0.31860000000
CO2f,0,2045,gasboiler,2035,1256.34460000000
CO2f,1,2045,gasboiler,2040,1039.26260000000
CO2f,1,2050,gasboiler,2040,1039.26260000000
CO2f,2,2050,gasboiler,2045,1151.34470000000
CO2f,3,2045,gasboiler,2035,1256.34460000000
CO2f,4,2045,gasboiler,2040,1039.26260000000
CO2f,4,2050,gasboiler,2040,1039.26260000000
CO2f,5,2050,gasboiler,2045,1151.34470000000
