commodity,year,asset,region,technology,installed,supply
heat,2050,0,R1,gasboiler,2040,48.09860000000
heat,2050,1,R1,gasboiler,2045,43.11450000000
heat,2050,3,R1,heatpump,2040,36.58680000000
heat,2050,4,R1,heatpump,2045,55.12520000000
heat,2055,1,R1,gasboiler,2045,43.11450000000
heat,2055,2,R1,gasboiler,2050,33.44280000000
heat,2055,4,R1,heatpump,2045,55.12520000000
heat,2055,5,R1,heatpump,2050,31.20960000000
CO2f,2050,0,R1,gasboiler,2040,3112.46190000000
CO2f,2050,1,R1,gasboiler,2045,2789.93880000000
CO2f,2055,1,R1,gasboiler,2045,2789.93880000000
CO2f,2055,2,R1,gasboiler,2050,2164.08060000000
