commodity,year,asset,region,technology,installed,supply
heat,2040,0,R1,gasboiler,2030,53.24570000000
heat,2040,1,R1,gasboiler,2035,38.43400000000
heat,2040,3,R1,heatpump,2030,42.30240000000
heat,2040,4,R1,heatpump,2035,48.61030000000
heat,2045,1,R1,gasboiler,2035,38.43400000000
heat,2045,2,R1,gasboiler,2040,48.09860000000
heat,2045,4,R1,heatpump,2035,48.61030000000
heat,2045,5,R1,heatpump,2040,36.58680000000
CO2f,2040,0,R1,gasboiler,2030,3445.52680000000
CO2f,2040,1,R1,gasboiler,2035,2487.06230000000
CO2f,2045,1,R1,gasboiler,2035,2487.06230000000
CO2f,2045,2,R1,gasboiler,2040,3112.46190000000
