commodity,year,asset,region,technology,installed,supply
heat,2045,0,R1,gasboiler,2035,38.43400000000
heat,2045,1,R1,gasboiler,2040,48.09860000000
heat,2045,3,R1,heatpump,2035,48.61030000000
heat,2045,4,R1,heatpump,2040,36.58680000000
heat,2050,1,R1,gasboiler,2040,48.09860000000
heat,2050,2,R1,gasboiler,2045,43.11450000000
heat,2050,4,R1,heatpump,2040,36.58680000000
heat,2050,5,R1,heatpump,2045,55.12520000000
CO2f,2045,0,R1,gasboiler,2035,2487.06230000000
CO2f,2045,1,R1,gasboiler,2040,3112.46190000000
CO2f,2050,1,R1,gasboiler,2040,3112.46190000000
CO2f,2050,2,R1,gasboiler,2045,2789.93880000000
