technology,dst_region,region,agent,sector,type,year,capacity,,,,
gasboiler,R1,R1,A1,residential,retrofit,2020,5,,,,
gasboiler,R1,R1,A2,residential,retrofit,2020,5,,,,
gasCCGT,R1,R1,A1,power,retrofit,2020,0.5,,,,
gasCCGT,R1,R1,A2,power,retrofit,2020,0.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2020,7.5,,,,
gassupply1,R1,R1,A2,gas,retrofit,2020,7.5,,,,
gasboiler,R1,R1,A1,residential,retrofit,2025,8.5,agent,(Multiple Items),,
heatpump,R1,R1,A1,residential,retrofit,2025,3.5,sector,(Multiple Items),,
gasboiler,R1,R1,A2,residential,retrofit,2025,7,,,,
heatpump,R1,R1,A2,residential,retrofit,2025,4.75,Sum of capacity,Column Labels,,
gasCCGT,R1,R1,A1,power,retrofit,2025,1.1763,Row Labels,gasCCGT,Grand Total,
gasCCGT,R1,R1,A2,power,retrofit,2025,0.8382,2020,0.5,0.5,
windturbine,R1,R1,A2,power,retrofit,2025,0.7609,2025,1.1763,1.1763,
gassupply1,R1,R1,A1,gas,retrofit,2025,10.6932,2030,2.3094,2.3094,
gassupply1,R1,R1,A2,gas,retrofit,2025,10.6932,2035,2.4088,2.4088,
gasboiler,R1,R1,A1,residential,retrofit,2030,6,2040,2.5774,2.5774,
gasboiler,R1,R1,A1,residential,retrofit,2030,5.625,2045,2.5774,2.5774,
heatpump,R1,R1,A1,residential,retrofit,2030,3.5,2050,2.9106,2.9106,
gasboiler,R1,R1,A2,residential,retrofit,2030,4.5,Grand Total,14.4599,14.4599,
gasboiler,R1,R1,A2,residential,retrofit,2030,2.8125,,,,
heatpump,R1,R1,A2,residential,retrofit,2030,4.75,,,,
heatpump,R1,R1,A2,residential,retrofit,2030,1.7875,,,,
gasCCGT,R1,R1,A1,power,retrofit,2030,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2030,1.6331,,,,
gasCCGT,R1,R1,A2,power,retrofit,2030,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2030,0.8166,agent,A2,,
windturbine,R1,R1,A2,power,retrofit,2030,0.7609,sector,power,,
