commodity,year,asset,region,technology,installed,supply
heat,2045,0,R1,gasboiler,2035,14.02870000000
heat,2045,1,R1,gasboiler,2040,10.26280000000
heat,2045,3,R1,heatpump,2035,0.36260000000
heat,2045,4,R1,heatpump,2040,2.01250000000
heat,2050,1,R1,gasboiler,2040,12.10670000000
heat,2050,2,R1,gasboiler,2045,15.16530000000
heat,2050,4,R1,heatpump,2040,2.37410000000
heat,2050,5,R1,heatpump,2045,0.35400000000
CO2f,2045,0,R1,gasboiler,2035,907.79670000000
CO2f,2045,1,R1,gasboiler,2040,664.10830000000
CO2f,2050,1,R1,gasboiler,2040,783.42170000000
CO2f,2050,2,R1,gasboiler,2045,981.34550000000
