commodity,year,asset,region,technology,installed,supply
heat,2040,0,R1,gasboiler,2030,8.05650000000
heat,2040,1,R1,gasboiler,2035,11.89480000000
heat,2040,3,R1,heatpump,2030,3.07460000000
heat,2040,4,R1,heatpump,2035,0.30750000000
heat,2045,1,R1,gasboiler,2035,14.02870000000
heat,2045,2,R1,gasboiler,2040,10.26280000000
heat,2045,4,R1,heatpump,2035,0.36260000000
heat,2045,5,R1,heatpump,2040,2.01250000000
CO2f,2040,0,R1,gasboiler,2030,521.33510000000
CO2f,2040,1,R1,gasboiler,2035,769.71260000000
CO2f,2045,1,R1,gasboiler,2035,907.79670000000
CO2f,2045,2,R1,gasboiler,2040,664.10830000000
