commodity,year,asset,region,installed,technology,supply
heat,2050,2,R1,2040,gasboiler,12.10670000000
heat,2050,3,R1,2040,heatpump,2.37410000000
heat,2050,4,R1,2045,gasboiler,15.16530000000
heat,2050,5,R1,2045,heatpump,0.35400000000
heat,2055,4,R1,2045,gasboiler,17.79160000000
heat,2055,5,R1,2045,heatpump,0.41530000000
heat,2055,6,R1,2050,gasboiler,10.05120000000
heat,2055,7,R1,2050,heatpump,1.64440000000
CO2f,2050,2,R1,2040,gasboiler,783.42170000000
CO2f,2050,4,R1,2045,gasboiler,981.34550000000
CO2f,2055,4,R1,2045,gasboiler,1151.29200000000
CO2f,2055,6,R1,2050,gasboiler,650.41240000000
