commodity,year,asset,region,technology,installed,supply
heat,2035,0,R1,gasboiler,2025,7.54240000000
heat,2035,1,R1,gasboiler,2030,9.01660000000
heat,2035,3,R1,heatpump,2030,3.44100000000
heat,2040,1,R1,gasboiler,2030,8.05650000000
heat,2040,2,R1,gasboiler,2035,11.89480000000
heat,2040,3,R1,heatpump,2030,3.07460000000
heat,2040,4,R1,heatpump,2035,0.30750000000
CO2f,2035,0,R1,gasboiler,2025,488.06890000000
CO2f,2035,1,R1,gasboiler,2030,583.46420000000
CO2f,2040,1,R1,gasboiler,2030,521.33510000000
CO2f,2040,2,R1,gasboiler,2035,769.71260000000
