technology,dst_region,region,agent,sector,type,year,capacity
electric_stove,R1,R1,A1,residential,retrofit,2020,10.00000000000
gas_stove,R1,R1,A1,residential,retrofit,2020,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
heatpump,R1,R1,A1,residential,retrofit,2020,0.01000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,1.00000000000
windturbine,R1,R1,A1,power,retrofit,2020,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2025,18.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2025,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,8.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,6.01050000000
gasCCGT,R1,R1,A1,power,retrofit,2025,1.00000000000
windturbine,R1,R1,A1,power,retrofit,2025,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,15.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2030,14.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2030,5.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2030,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,3.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,2.89500000000
heatpump,R1,R1,A1,residential,retrofit,2030,6.01050000000
heatpump,R1,R1,A1,residential,retrofit,2030,6.30050000000
gasCCGT,R1,R1,A1,power,retrofit,2030,0.01000000000
windturbine,R1,R1,A1,power,retrofit,2030,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,7.50000000000
electric_stove,R1,R1,A1,residential,retrofit,2035,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2035,5.99000000000
electric_stove,R1,R1,A1,residential,retrofit,2035,14.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2035,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,2.89500000000
gasboiler,R1,R1,A1,residential,retrofit,2035,1.19680000000
heatpump,R1,R1,A1,residential,retrofit,2035,0.01000000000
heatpump,R1,R1,A1,residential,retrofit,2035,6.30050000000
heatpump,R1,R1,A1,residential,retrofit,2035,9.07720000000
gasCCGT,R1,R1,A1,power,retrofit,2035,0.01000000000
windturbine,R1,R1,A1,power,retrofit,2035,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2040,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2040,14.99000000000
electric_stove,R1,R1,A1,residential,retrofit,2040,6.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2040,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2040,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2040,1.19680000000
gasboiler,R1,R1,A1,residential,retrofit,2040,1.24040000000
heatpump,R1,R1,A1,residential,retrofit,2040,0.01000000000
heatpump,R1,R1,A1,residential,retrofit,2040,9.07720000000
heatpump,R1,R1,A1,residential,retrofit,2040,9.24280000000
gasCCGT,R1,R1,A1,power,retrofit,2040,0.01000000000
windturbine,R1,R1,A1,power,retrofit,2040,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2040,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2045,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2045,6.99000000000
electric_stove,R1,R1,A1,residential,retrofit,2045,15.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2045,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2045,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2045,1.24040000000
gasboiler,R1,R1,A1,residential,retrofit,2045,0.51290000000
heatpump,R1,R1,A1,residential,retrofit,2045,0.01000000000
heatpump,R1,R1,A1,residential,retrofit,2045,9.24280000000
heatpump,R1,R1,A1,residential,retrofit,2045,12.72620000000
gasCCGT,R1,R1,A1,power,retrofit,2045,0.01000000000
windturbine,R1,R1,A1,power,retrofit,2045,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2050,0.01000000000
electric_stove,R1,R1,A1,residential,retrofit,2050,15.99000000000
electric_stove,R1,R1,A1,residential,retrofit,2050,7.99000000000
gas_stove,R1,R1,A1,residential,retrofit,2050,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2050,0.01000000000
gasboiler,R1,R1,A1,residential,retrofit,2050,0.51290000000
gasboiler,R1,R1,A1,residential,retrofit,2050,0.47230000000
heatpump,R1,R1,A1,residential,retrofit,2050,0.01000000000
heatpump,R1,R1,A1,residential,retrofit,2050,12.72620000000
heatpump,R1,R1,A1,residential,retrofit,2050,10.13790000000
gasCCGT,R1,R1,A1,power,retrofit,2050,0.01000000000
windturbine,R1,R1,A1,power,retrofit,2050,0.01000000000
gassupply1,R1,R1,A1,gas,retrofit,2050,0.01000000000
