technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,0.50000000000
solarPV,R1,R1,A1,power,retrofit,2020,0.50000000000
windturbine,R1,R1,A1,power,retrofit,2020,0.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,17.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,7.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2025,1.75000000000
solarPV,R1,R1,A1,power,retrofit,2025,1.50000000000
windturbine,R1,R1,A1,power,retrofit,2025,1.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,24.85990000000
gasboiler,R1,R1,A1,residential,retrofit,2030,12.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,11.00000000000
heatpump,R1,R1,A1,residential,retrofit,2030,7.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,1.25000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,0.52780000000
solarPV,R1,R1,A1,power,retrofit,2030,1.50000000000
windturbine,R1,R1,A1,power,retrofit,2030,1.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,17.35990000000
gassupply1,R1,R1,A1,gas,retrofit,2030,15.25340000000
gasboiler,R1,R1,A1,residential,retrofit,2035,11.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,13.15000000000
heatpump,R1,R1,A1,residential,retrofit,2035,5.01840000000
gasCCGT,R1,R1,A1,power,retrofit,2035,1.25000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,0.52780000000
solarPV,R1,R1,A1,power,retrofit,2035,1.50000000000
windturbine,R1,R1,A1,power,retrofit,2035,1.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,9.85990000000
gassupply1,R1,R1,A1,gas,retrofit,2035,15.25340000000
gassupply1,R1,R1,A1,gas,retrofit,2035,15.93050000000
gasboiler,R1,R1,A1,residential,retrofit,2040,13.15000000000
gasboiler,R1,R1,A1,residential,retrofit,2040,19.41500000000
heatpump,R1,R1,A1,residential,retrofit,2040,5.01840000000
heatpump,R1,R1,A1,residential,retrofit,2040,0.50180000000
gasCCGT,R1,R1,A1,power,retrofit,2040,1.25000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,0.52780000000
solarPV,R1,R1,A1,power,retrofit,2040,1.50000000000
windturbine,R1,R1,A1,power,retrofit,2040,1.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2040,9.85990000000
gassupply1,R1,R1,A1,gas,retrofit,2040,15.25340000000
gassupply1,R1,R1,A1,gas,retrofit,2040,15.93050000000
gassupply1,R1,R1,A1,gas,retrofit,2040,7.82510000000
gasboiler,R1,R1,A1,residential,retrofit,2045,19.41500000000
gasboiler,R1,R1,A1,residential,retrofit,2045,14.20320000000
heatpump,R1,R1,A1,residential,retrofit,2045,0.50180000000
heatpump,R1,R1,A1,residential,retrofit,2045,2.78520000000
gasCCGT,R1,R1,A1,power,retrofit,2045,1.25000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,0.52780000000
solarPV,R1,R1,A1,power,retrofit,2045,1.50000000000
windturbine,R1,R1,A1,power,retrofit,2045,1.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,9.85990000000
gassupply1,R1,R1,A1,gas,retrofit,2045,15.25340000000
gassupply1,R1,R1,A1,gas,retrofit,2045,15.93050000000
gassupply1,R1,R1,A1,gas,retrofit,2045,7.82510000000
gassupply1,R1,R1,A1,gas,retrofit,2045,11.13110000000
gasboiler,R1,R1,A1,residential,retrofit,2050,14.20320000000
gasboiler,R1,R1,A1,residential,retrofit,2050,17.79160000000
heatpump,R1,R1,A1,residential,retrofit,2050,2.78520000000
heatpump,R1,R1,A1,residential,retrofit,2050,0.41530000000
gasCCGT,R1,R1,A1,power,retrofit,2050,1.25000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,0.52780000000
gasCCGT,R1,R1,A1,power,retrofit,2050,0.40470000000
gassupply1,R1,R1,A1,gas,retrofit,2050,9.85990000000
gassupply1,R1,R1,A1,gas,retrofit,2050,15.25340000000
gassupply1,R1,R1,A1,gas,retrofit,2050,15.93050000000
gassupply1,R1,R1,A1,gas,retrofit,2050,7.82510000000
gassupply1,R1,R1,A1,gas,retrofit,2050,11.13110000000
