commodity,year,asset,region,technology,installed,supply
heat,2025,3,R1,gasboiler,2020,7.61330000000
heat,2025,5,R1,heatpump,2020,5.72000000000
heat,2030,3,R1,gasboiler,2020,2.75400000000
heat,2030,4,R1,gasboiler,2025,2.64880000000
heat,2030,5,R1,heatpump,2020,5.49930000000
heat,2030,6,R1,heatpump,2025,5.76460000000
cook,2025,0,R1,electric_stove,2020,11.49390000000
cook,2025,2,R1,gas_stove,2020,0.00610000000
cook,2030,0,R1,electric_stove,2020,8.75000000000
cook,2030,1,R1,electric_stove,2025,3.74380000000
cook,2030,2,R1,gas_stove,2020,0.00620000000
