commodity,year,asset,region,technology,installed,supply
heat,2030,4,R1,gasboiler,2020,2.75400000000
heat,2030,5,R1,gasboiler,2025,2.64880000000
heat,2030,7,R1,heatpump,2020,5.49930000000
heat,2030,8,R1,heatpump,2025,5.76460000000
heat,2035,4,R1,gasboiler,2020,0.01000000000
heat,2035,5,R1,gasboiler,2025,2.89500000000
heat,2035,6,R1,gasboiler,2030,1.19680000000
heat,2035,7,R1,heatpump,2020,0.01000000000
heat,2035,8,R1,heatpump,2025,6.30050000000
heat,2035,9,R1,heatpump,2030,9.07720000000
cook,2030,0,R1,electric_stove,2020,8.75000000000
cook,2030,1,R1,electric_stove,2025,3.74380000000
cook,2030,3,R1,gas_stove,2020,0.00620000000
cook,2035,0,R1,electric_stove,2020,0.00640000000
cook,2035,1,R1,electric_stove,2025,3.85070000000
cook,2035,2,R1,electric_stove,2030,9.63640000000
cook,2035,3,R1,gas_stove,2020,0.00640000000
