commodity,year,asset,region,technology,installed,supply
heat,2045,5,R1,gasboiler,2020,0.01000000000
heat,2045,6,R1,gasboiler,2035,1.24040000000
heat,2045,7,R1,gasboiler,2040,0.51290000000
heat,2045,9,R1,heatpump,2020,0.01000000000
heat,2045,10,R1,heatpump,2035,9.24280000000
heat,2045,11,R1,heatpump,2040,12.72620000000
heat,2050,5,R1,gasboiler,2020,0.01000000000
heat,2050,7,R1,gasboiler,2040,0.51290000000
heat,2050,8,R1,gasboiler,2045,0.47230000000
heat,2050,9,R1,heatpump,2020,0.01000000000
heat,2050,11,R1,heatpump,2040,12.72620000000
heat,2050,12,R1,heatpump,2045,10.13790000000
cook,2045,0,R1,electric_stove,2020,0.00670000000
cook,2045,1,R1,electric_stove,2035,4.71070000000
cook,2045,2,R1,electric_stove,2040,10.77590000000
cook,2045,4,R1,gas_stove,2020,0.00670000000
cook,2050,0,R1,electric_stove,2020,0.00690000000
cook,2050,2,R1,electric_stove,2040,10.99310000000
cook,2050,3,R1,electric_stove,2045,5.49310000000
cook,2050,4,R1,gas_stove,2020,0.00690000000
