commodity,year,asset,region,technology,installed,supply
heat,2035,5,R1,gasboiler,2020,0.01000000000
heat,2035,6,R1,gasboiler,2025,2.89500000000
heat,2035,7,R1,gasboiler,2030,1.19680000000
heat,2035,9,R1,heatpump,2020,0.01000000000
heat,2035,10,R1,heatpump,2025,6.30050000000
heat,2035,11,R1,heatpump,2030,9.07720000000
heat,2040,5,R1,gasboiler,2020,0.01000000000
heat,2040,7,R1,gasboiler,2030,1.19680000000
heat,2040,8,R1,gasboiler,2035,1.24040000000
heat,2040,9,R1,heatpump,2020,0.01000000000
heat,2040,11,R1,heatpump,2030,9.07720000000
heat,2040,12,R1,heatpump,2035,9.24280000000
cook,2035,0,R1,electric_stove,2020,0.00640000000
cook,2035,1,R1,electric_stove,2025,3.85070000000
cook,2035,2,R1,electric_stove,2030,9.63640000000
cook,2035,4,R1,gas_stove,2020,0.00640000000
cook,2040,0,R1,electric_stove,2020,0.00660000000
cook,2040,2,R1,electric_stove,2030,9.87980000000
cook,2040,3,R1,electric_stove,2035,4.60700000000
cook,2040,4,R1,gas_stove,2020,0.00660000000
