technology,dst_region,region,agent,sector,type,year,capacity,,,,
gasboiler,R1,R1,A1,residential,retrofit,2020,10,,,,
gasboiler,R2,R2,A1,residential,retrofit,2020,10,,,,
gasCCGT,R1,R1,A1,power,retrofit,2020,1,,,,
gasCCGT,R2,R2,A1,power,retrofit,2020,1,,,,
gassupply1,R1,R1,A1,gas,retrofit,2020,15,,,,
gassupply1,R2,R2,A1,gas,retrofit,2020,15,,,,
gasboiler,R1,R1,A1,residential,retrofit,2025,17,,,,
heatpump,R1,R1,A1,residential,retrofit,2025,7,,,,
gasboiler,R2,R2,A1,residential,retrofit,2025,17,,,,
heatpump,R2,R2,A1,residential,retrofit,2025,7,,,,
gasCCGT,R1,R1,A1,power,retrofit,2025,6,,,,
windturbine,R1,R1,A1,power,retrofit,2025,10,,,,
gasCCGT,R2,R2,A1,power,retrofit,2025,6,,,,
windturbine,R2,R2,A1,power,retrofit,2025,10,,,,
gassupply1,R1,R1,A1,gas,retrofit,2025,65,region,(Multiple Items),,
gassupply1,R2,R2,A1,gas,retrofit,2025,65,sector,power,,
gasboiler,R1,R1,A1,residential,retrofit,2030,12,,,,
gasboiler,R1,R1,A1,residential,retrofit,2030,11,Sum of capacity,Column Labels,,
heatpump,R1,R1,A1,residential,retrofit,2030,7,Row Labels,gasCCGT,windturbine,Grand Total
gasboiler,R2,R2,A1,residential,retrofit,2030,12,2020,1,,1
gasboiler,R2,R2,A1,residential,retrofit,2030,11,2025,6,10,16
heatpump,R2,R2,A1,residential,retrofit,2030,7,2030,6.7556,10,16.7556
gasCCGT,R1,R1,A1,power,retrofit,2030,5,2035,6.7556,10,16.7556
gasCCGT,R1,R1,A1,power,retrofit,2030,1.7556,2040,6.7556,10,16.7556
windturbine,R1,R1,A1,power,retrofit,2030,10,2045,6.7556,10,16.7556
gasCCGT,R2,R2,A1,power,retrofit,2030,5,2050,6.7556,,6.7556
gasCCGT,R2,R2,A1,power,retrofit,2030,1.7556,Grand Total,40.778,50,90.778
windturbine,R2,R2,A1,power,retrofit,2030,10,,,,
gassupply1,R1,R1,A1,gas,retrofit,2030,57.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2030,27.5,,,,
